Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kuala Lumpur,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,32.3,94,Moderate,50.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,29.5,89,Moderate,27.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,26.7,84,Moderate,24.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,24.3,79,Moderate,22.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,18.6,69,Moderate,13.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,15.3,63,Moderate,12.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,14.6,61,Moderate,14.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,12.8,58,Moderate,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,14.9,62,Moderate,17.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,15.9,64,Moderate,17.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,12.9,58,Moderate,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,12.4,57,Moderate,12.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,11.7,56,Moderate,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,10.3,53,Moderate,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,8.1,45,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,8.5,47,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,8.5,47,Good,-999.0,UG/M3,1 Hr,Missing
Kuala Lumpur,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,-999.0,-999,N/A,16.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,13.5,59,Moderate,13.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,11.6,56,Moderate,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,11.8,56,Moderate,12.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,10.8,54,Moderate,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,9.4,52,Moderate,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,7.7,43,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,7.8,43,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,8.4,47,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,7.2,40,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,7.6,42,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,8.3,46,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,7.6,42,Good,7.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,8.8,49,Good,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,8.4,47,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,10.2,53,Moderate,12.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 11:00 AM,2024,01,02,11,10.6,54,Moderate,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 12:00 PM,2024,01,02,12,10.3,53,Moderate,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 01:00 PM,2024,01,02,13,10.1,53,Moderate,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 02:00 PM,2024,01,02,14,9.5,52,Moderate,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 03:00 PM,2024,01,02,15,6.7,37,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 04:00 PM,2024,01,02,16,9.8,52,Moderate,13.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 05:00 PM,2024,01,02,17,10.4,53,Moderate,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 06:00 PM,2024,01,02,18,12.2,57,Moderate,14.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 07:00 PM,2024,01,02,19,10.6,54,Moderate,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 08:00 PM,2024,01,02,20,8.3,46,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 09:00 PM,2024,01,02,21,7.1,39,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 10:00 PM,2024,01,02,22,8.0,44,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-02 11:00 PM,2024,01,02,23,9.0,50,Good,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 12:00 AM,2024,01,03,00,10.0,53,Moderate,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 01:00 AM,2024,01,03,01,10.0,53,Moderate,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 02:00 AM,2024,01,03,02,8.0,44,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 03:00 AM,2024,01,03,03,7.0,39,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 04:00 AM,2024,01,03,04,7.5,42,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 05:00 AM,2024,01,03,05,6.7,37,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 06:00 AM,2024,01,03,06,7.8,43,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 07:00 AM,2024,01,03,07,6.9,38,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 08:00 AM,2024,01,03,08,5.4,30,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 09:00 AM,2024,01,03,09,5.2,29,Good,5.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 10:00 AM,2024,01,03,10,5.2,29,Good,-999.0,UG/M3,1 Hr,Missing
Kuala Lumpur,PM2.5 - Principal,2024-01-03 11:00 AM,2024,01,03,11,5.7,32,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 12:00 PM,2024,01,03,12,6.4,36,Good,7.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 01:00 PM,2024,01,03,13,7.2,40,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 02:00 PM,2024,01,03,14,8.1,45,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 03:00 PM,2024,01,03,15,8.0,44,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2024-01-03 04:00 PM,2024,01,03,16,10.5,54,Moderate,13.0,UG/M3,1 Hr,Valid
